,agent,lr,num_recall,seed
442,qparsr,0.7,10000,2
443,qparsr,0.7,10000,3
444,qparsr,0.7,10000,4
445,qparsr,0.7,10000,5
446,qparsr,0.7,10000,6
447,qparsr,0.7,10000,7
448,qparsr,0.7,10000,8
449,qparsr,0.7,10000,9
450,qparsr,0.9,100,0
451,qparsr,0.9,100,1
452,qparsr,0.9,100,2
453,qparsr,0.9,100,3
454,qparsr,0.9,100,4
455,qparsr,0.9,100,5
456,qparsr,0.9,100,6
457,qparsr,0.9,100,7
458,qparsr,0.9,100,8
459,qparsr,0.9,100,9
460,qparsr,0.9,300,0
461,qparsr,0.9,300,1
462,qparsr,0.9,300,2
463,qparsr,0.9,300,3
464,qparsr,0.9,300,4
465,qparsr,0.9,300,5
466,qparsr,0.9,300,6
467,qparsr,0.9,300,7
468,qparsr,0.9,300,8
469,qparsr,0.9,300,9
470,qparsr,0.9,1000,0
471,qparsr,0.9,1000,1
472,qparsr,0.9,1000,2
473,qparsr,0.9,1000,3
474,qparsr,0.9,1000,4
475,qparsr,0.9,1000,5
476,qparsr,0.9,1000,6
477,qparsr,0.9,1000,7
478,qparsr,0.9,1000,8
479,qparsr,0.9,1000,9
480,qparsr,0.9,3000,0
481,qparsr,0.9,3000,1
482,qparsr,0.9,3000,2
483,qparsr,0.9,3000,3
484,qparsr,0.9,3000,4
485,qparsr,0.9,3000,5
486,qparsr,0.9,3000,6
487,qparsr,0.9,3000,7
488,qparsr,0.9,3000,8
489,qparsr,0.9,3000,9
490,qparsr,0.9,10000,0
491,qparsr,0.9,10000,1
492,qparsr,0.9,10000,2
493,qparsr,0.9,10000,3
494,qparsr,0.9,10000,4
495,qparsr,0.9,10000,5
496,qparsr,0.9,10000,6
497,qparsr,0.9,10000,7
498,qparsr,0.9,10000,8
499,qparsr,0.9,10000,9
